"","Period","Revenue","DailyRev","Rev_ma"
"1",2015-01-01,16010072.1195,16010072.1195,NA
"2",2015-02-01,15807587.449808,-202484.669692,NA
"3",2015-03-01,22047146.023644,6239558.573836,NA
"4",2015-04-01,18814583.29428,-3232562.729364,2737413.170696
"5",2015-05-01,14021479.611678,-4793103.682602,-115012.546108286
"6",2015-06-01,16783928.522112,2762448.910434,685193.217898857
"7",2015-07-01,19161892.194872,2377963.67276,-150610.177644
"8",2015-08-01,15204984.296742,-3956907.89813,-545887.662378571
"9",2015-09-01,20603939.9751,5398955.678358,1967189.71831
"10",2015-10-01,20992874.780136,388934.805036001,1688236.85341257
"11",2015-11-01,14993369.65763,-5999505.122506,457883.124387429
"12",2015-12-01,27791807.639848,12798437.982218,2076232.03875114
"13",2016-01-01,28601586.496,809778.856151998,1106723.99481429
"14",2016-02-01,22367074.065584,-6234512.430416,-818324.435038715
"15",2016-03-01,29738608.568,7371534.502416,1341755.48848943
"16",2016-04-01,28351007.9388,-1387600.6292,242101.347158142
"17",2016-05-01,15264603.734865,-13086404.203935,-1904495.60564286
"18",2016-06-01,24385658.077056,9121054.342191,1967707.64234514
"19",2016-07-01,29486517.069955,5100858.992899,-260494.987571428
"20",2016-08-01,15270117.2565,-14216399.813455,-1011279.79905714
"21",2016-09-01,36141027.562,20870910.3055,3821365.16415643
"22",2016-10-01,27915143.655,-8225883.907,1660246.08470629
"23",2016-11-01,21272049.3454,-6643094.3096,130036.901206429
"24",2016-12-01,42014159.88396,20742110.53856,4629716.20993286
"25",2017-01-01,36007380.67,-6006779.21396,-1303866.11909657
"26",2017-02-01,30396775.3784,-5610605.2916,-423756.993857143
"27",2017-03-01,47678130.72603,17281355.34763,1404185.17108571
"28",2017-04-01,27013964.728324,-20664165.997706,-1166476.80791657
"29",2017-05-01,24948844.698,-2065120.030324,-2793244.816
"30",2017-06-01,31101345.543,6152500.845,179045.3248
"31",2017-07-01,33848822.228544,2747476.685544,-2300846.44337571
"32",2017-08-01,16454666.958,-17394155.270544,-652513.385932
"33",2017-09-01,31650092.652,15195425.694,2859611.58165714
"34",2017-10-01,31572205.6224,-77887.0295999981,1852310.75928571
"35",2017-11-01,22446371.0268,-9125834.5956,310209.275250858
"36",2017-12-01,44966125.7696,22519754.7428,4363046.20778571
"37",2018-01-01,44067520.858,-898604.911599994,555199.2904
"38",2018-02-01,36020287.1553,-8047233.7027,-267515.206628572
"39",2018-03-01,46995990.4125,10975703.2572,1544956.3374
"40",2018-04-01,35536487.6848,-11459502.7277,-1305655.83748571
"41",2018-05-01,29699599.176,-5836888.5088,-2971266.52097143
"42",2018-06-01,33261065.3886,3561466.2126,-85256.7578999996
"43",2018-07-01,35826534.9072,2565469.5186,-1023489.24501429
"44",2018-08-01,23268655.2112,-12557879.696,-362477.496457142
"45",2018-09-01,35423489.85,12154834.6388,2503175.57511429
"46",2018-10-01,39831565.6974,4408075.8474,456984.957555
"47",2018-11-01,32999145.2096,-6832420.4878,102851.965116429
"48",2018-12-01,47221828.2018,14222682.9922,4418578.78691429
"49",2019-01-01,36459960.091485,-10761868.110315,-382785.7492
"50",2019-02-01,36546498.663015,86538.5715299994,-1042844.02252857
"51",2019-03-01,54198706.7196,17652208.056585,2101508.06071428
"52",2019-04-01,32743989.6056,-21454717.114,-175669.51826
"53",2019-05-01,32531657.5397,-212332.065899998,67672.1329307142
"54",2019-06-01,47709701.6346,15178044.0949,1711394.49591214
"55",2019-07-01,45992141.57398,-1717560.06061999,-1434041.50531429
"56",2019-08-01,36933665.022,-9058476.55198,518709.555542857
"57",2019-09-01,48526260.1344,11592595.1124,3746402.30301429
"58",2019-10-01,44160416.1824,-4365843.952,1225514.17648571
"59",2019-11-01,36374956.4944,-7785459.688,-823842.615711429
"60",2019-12-01,58756473.6608,22381517.1664,1869785.74435714
"61",2020-01-01,56288300.87,-2468172.79080001,542061.829771428
"62",2020-02-01,40225243.264,-16063057.606,NA
"63",2020-03-01,50022165.2325,9796921.9685,NA
"64",2020-04-01,52320692.9428,2298527.7103,NA
